Word 1,Word 2,Human (mean),similarity
love,sex,6.77,0.5362178683280945
tiger,cat,7.35,0.8400418758392334
tiger,tiger,10.0,1.0
book,paper,7.46,0.5264298915863037
computer,keyboard,7.62,0.6333524584770203
computer,internet,7.58,0.6498199701309204
plane,car,5.77,0.5685892105102539
train,car,6.31,0.5866273641586304
telephone,communication,7.5,0.5325626730918884
television,radio,6.77,0.7804690599441528
media,radio,7.42,0.5851725339889526
drug,abuse,6.85,0.728588342666626
bread,butter,6.19,0.8294209837913513
cucumber,potato,5.92,0.0
doctor,nurse,7.0,0.7516270279884338
professor,doctor,6.62,0.5317075252532959
student,professor,6.81,0.6060786843299866
smart,student,4.62,0.04693130403757095
smart,stupid,5.81,0.4637927711009979
company,stock,7.08,0.6139670610427856
stock,market,8.08,0.7024811506271362
stock,phone,1.62,0.35122737288475037
stock,CD,1.31,0.26855677366256714
stock,jaguar,0.92,0.0
stock,egg,1.81,0.1929355263710022
fertility,egg,6.69,0.36470359563827515
stock,live,3.73,0.06800918281078339
stock,life,0.92,-0.07287865877151489
book,library,7.46,0.3443303108215332
bank,money,8.12,0.33909356594085693
wood,forest,7.73,0.5709328651428223
money,cash,9.15,0.7266766428947449
professor,cucumber,0.31,0.0
king,cabbage,0.23,-0.09364508092403412
king,queen,8.58,0.7536136507987976
king,rook,5.92,0.3180091977119446
bishop,rabbi,6.69,0.689202606678009
Jerusalem,Israel,8.46,0.4288405478000641
Jerusalem,Palestinian,7.65,0.30465543270111084
holy,sex,1.62,0.1810167133808136
fuck,sex,9.44,0.10800114274024963
Maradona,football,8.62,0.4438105523586273
football,soccer,9.03,0.8008624315261841
football,basketball,6.81,0.8133795857429504
football,tennis,6.63,0.6101080179214478
tennis,racket,7.56,0.0
Arafat,peace,6.73,0.007307743653655052
Arafat,terror,7.65,0.09681436419487
Arafat,Jackson,2.5,0.40363600850105286
law,lawyer,8.38,0.43338799476623535
movie,star,7.38,0.5661354660987854
movie,popcorn,6.19,0.011269149370491505
movie,critic,6.73,0.4609617590904236
movie,theater,7.92,0.5469013452529907
physics,proton,8.12,0.41777101159095764
physics,chemistry,7.35,0.9122007489204407
space,chemistry,4.88,0.31114721298217773
alcohol,chemistry,5.54,0.4208926856517792
vodka,gin,8.46,0.593590497970581
vodka,brandy,8.13,0.7183921933174133
drink,car,3.04,0.3259032070636749
drink,ear,1.31,0.3807297348976135
drink,mouth,5.96,0.34962189197540283
drink,eat,6.87,0.774017333984375
baby,mother,7.85,0.680273711681366
drink,mother,2.65,0.3847673833370209
car,automobile,8.94,0.5676059722900391
gem,jewel,8.96,0.5030904412269592
journey,voyage,9.29,0.713970422744751
boy,lad,8.83,0.5670078992843628
coast,shore,9.1,0.8655027747154236
asylum,madhouse,8.87,0.0
magician,wizard,9.02,0.6597919464111328
midday,noon,9.29,0.7737549543380737
furnace,stove,8.79,0.6447893381118774
food,fruit,7.52,0.7110820412635803
bird,cock,7.1,0.5356489419937134
bird,crane,7.38,0.43686726689338684
tool,implement,6.46,0.5445502400398254
brother,monk,6.27,0.4657913148403168
crane,implement,2.69,0.06815331429243088
lad,brother,4.46,0.33837616443634033
journey,car,5.85,0.2865627706050873
monk,oracle,5.0,0.4296700358390808
cemetery,woodland,2.08,0.4020026624202728
food,rooster,4.42,0.270311176776886
coast,hill,4.38,0.6051479578018188
forest,graveyard,1.85,0.4690658450126648
shore,woodland,3.08,0.5166665315628052
monk,slave,0.92,0.5040543079376221
coast,forest,3.15,0.46480756998062134
lad,wizard,0.92,0.6021581888198853
chord,smile,0.54,0.420899361371994
glass,magician,2.08,0.2818372845649719
noon,string,0.54,0.09367939829826355
rooster,voyage,0.62,0.043490685522556305
money,dollar,8.42,0.37711554765701294
money,cash,9.08,0.7266766428947449
money,currency,9.04,0.36018216609954834
money,wealth,8.27,0.5954182147979736
money,property,7.57,0.5839076638221741
money,possession,7.29,0.4046974182128906
money,bank,8.5,0.33909356594085693
money,deposit,7.73,0.4266817569732666
money,withdrawal,6.88,0.18841667473316193
money,laundering,5.65,0.4117998480796814
money,operation,3.31,0.181226447224617
tiger,jaguar,8.0,0.0
tiger,feline,8.0,0.4646250605583191
tiger,carnivore,7.08,0.0
tiger,mammal,6.85,0.3378128111362457
tiger,animal,7.0,0.6405917406082153
tiger,organism,4.77,0.39857301115989685
tiger,fauna,5.62,0.32358717918395996
tiger,zoo,5.87,0.28126272559165955
psychology,psychiatry,8.08,0.6905555725097656
psychology,anxiety,7.0,0.5679152011871338
psychology,fear,6.85,0.2290935516357422
psychology,depression,7.42,0.3445747494697571
psychology,clinic,6.58,0.41350558400154114
psychology,doctor,6.42,0.4019854664802551
psychology,Freud,8.21,0.6302966475486755
psychology,mind,7.69,0.4300523102283478
psychology,health,7.23,0.47052910923957825
psychology,science,6.71,0.8321198225021362
psychology,discipline,5.58,0.6984347701072693
psychology,cognition,7.48,0.7083112001419067
planet,star,8.45,0.4217911958694458
planet,constellation,8.06,0.6444166302680969
planet,moon,8.08,0.7518588304519653
planet,sun,8.02,0.7760666608810425
planet,galaxy,8.11,0.7386306524276733
planet,space,7.92,0.4267466366291046
planet,astronomer,7.94,-0.06870778650045395
precedent,example,5.85,0.4275158643722534
precedent,information,3.85,0.29953646659851074
precedent,cognition,2.81,0.36082762479782104
precedent,law,6.65,0.508070170879364
precedent,collection,2.5,0.17504335939884186
precedent,group,1.77,0.09674102813005447
precedent,antecedent,6.04,0.0
cup,coffee,6.58,0.1780061274766922
cup,tableware,6.85,0.28384169936180115
cup,article,2.4,-0.16139699518680573
cup,artifact,2.92,-0.07099895924329758
cup,object,3.69,0.07766304165124893
cup,entity,2.15,0.03799296170473099
cup,drink,7.25,0.08319670706987381
cup,food,5.0,0.11749386042356491
cup,substance,1.92,-0.05301550030708313
cup,liquid,5.9,0.05377388000488281
jaguar,cat,7.42,0.0
jaguar,car,7.27,0.0
energy,secretary,1.81,-0.13780462741851807
secretary,senate,5.06,0.3673780560493469
energy,laboratory,5.09,0.4080451726913452
computer,laboratory,6.78,0.5956085920333862
weapon,secret,6.06,0.42415744066238403
FBI,fingerprint,6.94,0.3451012670993805
FBI,investigation,8.31,0.585390567779541
investigation,effort,4.59,0.43764495849609375
Mars,water,2.94,0.048835258930921555
Mars,scientist,5.63,0.10250657051801682
news,report,8.16,0.46035483479499817
canyon,landscape,7.53,0.36368727684020996
image,surface,4.56,0.5434584021568298
discovery,space,6.34,0.3044731318950653
water,seepage,6.56,0.0
sign,recess,2.38,0.29031336307525635
Wednesday,news,2.22,0.3055965006351471
mile,kilometer,8.66,0.7068864107131958
computer,news,4.47,0.26266103982925415
territory,surface,5.34,0.2050517052412033
atmosphere,landscape,3.69,0.5201131105422974
president,medal,3.0,0.09210619330406189
war,troops,8.13,0.535554826259613
record,number,6.31,0.206941619515419
skin,eye,6.22,0.7375801205635071
Japanese,American,6.5,0.41626477241516113
theater,history,3.91,0.19331540167331696
volunteer,motto,2.56,-0.023476358503103256
prejudice,recognition,3.0,0.4227277934551239
decoration,valor,5.63,0.37364599108695984
century,year,7.59,0.24972523748874664
century,nation,3.16,0.3556893765926361
delay,racism,1.19,0.0808572769165039
delay,news,3.31,0.129203200340271
minister,party,6.63,0.43553856015205383
peace,plan,4.75,0.469011515378952
minority,peace,3.69,0.432192862033844
attempt,peace,4.25,0.3817306160926819
government,crisis,6.56,0.5808249711990356
deployment,departure,4.25,0.22355873882770538
deployment,withdrawal,5.88,0.6595271825790405
energy,crisis,5.94,0.28799113631248474
announcement,news,7.56,0.4923722743988037
announcement,effort,2.75,0.4352264404296875
stroke,hospital,7.03,0.22695940732955933
disability,death,5.47,0.24294619262218475
victim,emergency,6.47,0.26966971158981323
treatment,recovery,7.91,0.6456397175788879
journal,association,4.97,0.36680343747138977
doctor,personnel,5.0,0.0112100038677454
doctor,liability,5.19,0.13007928431034088
liability,insurance,7.03,0.8392378687858582
school,center,3.44,0.25174859166145325
reason,hypertension,2.31,0.06746120005846024
reason,criterion,5.91,0.5891100168228149
hundred,percent,7.38,0.37437185645103455
Harvard,Yale,8.13,0.9022208452224731
hospital,infrastructure,4.63,0.16460619866847992
death,row,5.25,0.13611675798892975
death,inmate,5.03,0.23081029951572418
lawyer,evidence,6.69,0.1260240077972412
life,death,7.88,0.31926777958869934
life,term,4.5,0.26002705097198486
word,similarity,4.75,0.4278225600719452
board,recommendation,4.47,0.4371108412742615
governor,interview,3.25,-0.0074965157546103
OPEC,country,5.63,0.0
peace,atmosphere,3.69,0.16279226541519165
peace,insurance,2.94,0.1890193521976471
territory,kilometer,5.28,0.1098773330450058
travel,activity,5.0,0.14127199351787567
competition,price,6.44,0.26377367973327637
consumer,confidence,4.13,0.38705700635910034
consumer,energy,4.75,0.5527782440185547
problem,airport,2.38,0.24234768748283386
car,flight,4.94,0.48211878538131714
credit,card,8.06,0.6174734234809875
credit,information,5.31,0.6015895009040833
hotel,reservation,8.03,0.24922579526901245
grocery,money,5.94,0.21546681225299835
registration,arrangement,6.0,0.2596215307712555
arrangement,accommodation,5.41,0.2624191641807556
month,hotel,1.81,0.2188863307237625
type,kind,8.97,0.610949695110321
arrival,hotel,6.0,0.22952404618263245
bed,closet,6.72,0.6021060347557068
closet,clothes,8.0,0.4748618006706238
situation,conclusion,4.81,0.5831320285797119
situation,isolation,3.88,0.42465147376060486
impartiality,interest,5.16,0.0
direction,combination,2.25,0.378359854221344
street,place,6.44,0.2839994430541992
street,avenue,8.88,0.5124641060829163
street,block,6.88,0.45284855365753174
street,children,4.94,0.10823960602283478
listing,proximity,2.56,-0.039639588445425034
listing,category,6.38,0.4721931219100952
cell,phone,7.81,0.43146854639053345
production,hike,1.75,0.09670371562242508
benchmark,index,4.25,0.3859383463859558
media,trading,3.88,0.2902336120605469
media,gain,2.88,0.22517025470733643
dividend,payment,7.63,0.4943705201148987
dividend,calculation,6.48,0.537812352180481
calculation,computation,8.44,0.8007465600967407
currency,market,7.5,0.6432659029960632
OPEC,oil,8.59,0.0
oil,stock,6.34,0.6574499011039734
announcement,production,3.38,0.2892211377620697
announcement,warning,6.0,0.39386990666389465
profit,warning,3.88,0.4116666316986084
profit,loss,7.63,0.42532286047935486
dollar,yen,7.78,0.4022130072116852
dollar,buck,9.22,0.07779166847467422
dollar,profit,7.38,0.5370022058486938
dollar,loss,6.09,0.23112033307552338
computer,software,8.5,0.8167335987091064
network,hardware,8.31,0.5330833792686462
phone,equipment,7.13,0.3839285373687744
equipment,maker,5.91,0.27737128734588623
luxury,car,6.47,0.4430832266807556
five,month,3.38,0.2136257141828537
report,gain,3.63,0.1248943880200386
investor,earning,7.13,0.18645042181015015
liquid,water,7.89,0.6212201714515686
baseball,season,5.97,0.5296174883842468
game,victory,7.03,0.46760499477386475
game,team,7.69,0.5530698895454407
marathon,sprint,7.47,0.6896476745605469
game,series,6.19,0.48052456974983215
game,defeat,6.97,0.364906907081604
seven,series,3.56,0.22493140399456024
seafood,sea,7.47,0.2883414030075073
seafood,food,8.34,0.6214229464530945
seafood,lobster,8.7,0.6394907832145691
lobster,food,7.81,0.4188494384288788
lobster,wine,5.7,0.4088817834854126
food,preparation,6.22,0.36370497941970825
video,archive,6.34,0.47032496333122253
start,year,4.06,0.1958722174167633
start,match,4.47,0.34552016854286194
game,round,5.97,0.5391098856925964
boxing,round,7.61,0.323637992143631
championship,tournament,8.36,0.8159573674201965
fighting,defeating,7.41,0.28084415197372437
line,insurance,2.69,0.02145449072122574
day,summer,3.94,0.39737504720687866
summer,drought,7.16,0.446197509765625
summer,nature,5.63,-0.04529443010687828
day,dawn,7.53,0.39267534017562866
nature,environment,8.31,0.6548250913619995
environment,ecology,8.81,0.6224002838134766
nature,man,6.25,0.26561200618743896
man,woman,8.3,0.8239300847053528
man,governor,5.25,0.26200735569000244
murder,manslaughter,8.53,0.7026536464691162
soap,opera,7.94,0.7125431299209595
opera,performance,6.88,0.3225755989551544
life,lesson,5.94,0.18717151880264282
focus,life,4.06,0.25750795006752014
production,crew,6.25,0.1352105289697647
television,film,7.72,0.4894483983516693
lover,quarrel,6.19,0.42959165573120117
viewer,serial,2.97,0.4081377685070038
possibility,girl,1.94,0.2634044587612152
population,development,3.75,0.17429803311824799
morality,importance,3.31,0.5624719858169556
morality,marriage,3.69,0.38191965222358704
Mexico,Brazil,7.44,0.5490592122077942
gender,equality,6.41,0.7536812424659729
change,attitude,5.44,0.419822096824646
family,planning,6.25,0.056229833513498306
opera,industry,2.63,0.186232790350914
sugar,approach,0.88,0.15199021995067596
practice,institution,3.19,0.5837199687957764
ministry,culture,4.69,0.25523480772972107
problem,challenge,6.75,0.45587703585624695
size,prominence,5.31,0.22224894165992737
country,citizen,7.31,0.3036330044269562
planet,people,5.75,0.22137150168418884
development,issue,3.97,0.19264885783195496
experience,music,3.47,0.3878456950187683
music,project,3.63,0.271696001291275
glass,metal,5.56,0.7444437146186829
aluminum,metal,7.83,0.810308575630188
chance,credibility,3.88,0.29142212867736816
exhibit,memorabilia,5.31,0.26943379640579224
concert,virtuoso,6.81,0.3450814485549927
rock,jazz,7.59,0.7382662296295166
museum,theater,7.19,0.5043076872825623
observation,architecture,4.38,0.30170851945877075
space,world,6.53,0.2535088062286377
preservation,world,6.19,0.2121381014585495
admission,ticket,7.69,0.45741769671440125
shower,thunderstorm,6.31,0.5492954850196838
shower,flood,6.03,0.2599007189273834
weather,forecast,8.34,0.4455189108848572
disaster,area,6.25,0.2962327003479004
governor,office,6.34,0.4804457724094391
architecture,century,3.78,0.4119618833065033
